ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-10,'002306,*STÔÆÍø,4.35,4.44,4.34,4.39,4.39,-0.04,-0.9112,0.7523,6018206,26346583.24,3480000000.0,3480000000.0
2019-04-09,'002306,*STÔÆÍø,4.39,4.45,4.31,4.31,4.32,0.07,1.6204,0.7806,6244901,27496607.38,3512000000.0,3512000000.0
2019-04-08,'002306,*STÔÆÍø,4.32,4.47,4.29,4.45,4.47,-0.15,-3.3557,1.0862,8689906,38104971.28,3456000000.0,3456000000.0
2019-04-04,'002306,*STÔÆÍø,4.47,4.5,4.37,4.45,4.46,0.01,0.2242,0.8924,7139396,31769857.75,3576000000.0,3576000000.0
2019-04-03,'002306,*STÔÆÍø,4.46,4.55,4.35,4.38,4.4,0.06,1.3636,0.8588,6870527,30583566.15,3568000000.0,3568000000.0
2019-04-02,'002306,*STÔÆÍø,4.4,4.41,4.34,4.38,4.38,0.02,0.4566,0.6544,5234825,22893557.25,3520000000.0,3520000000.0
2019-04-01,'002306,*STÔÆÍø,4.38,4.45,4.35,4.35,4.35,0.03,0.6897,0.7568,6054508,26626109.66,3504000000.0,3504000000.0
2019-03-29,'002306,*STÔÆÍø,4.35,4.36,4.09,4.25,4.26,0.09,2.1127,0.7564,6051450,25806117.42,3480000000.0,3480000000.0
2019-03-28,'002306,*STÔÆÍø,4.26,4.4,4.17,4.19,4.24,0.02,0.4717,0.7458,5966008,25772337.64,3408000000.0,3408000000.0
2019-03-27,'002306,*STÔÆÍø,4.24,4.37,4.11,4.33,4.33,-0.09,-2.0785,0.8474,6778804,28553561.8,3392000000.0,3392000000.0
2019-03-26,'002306,*STÔÆÍø,4.33,4.54,4.28,4.38,4.5,-0.17,-3.7778,1.4436,11548604,50777053.2,3464000000.0,3464000000.0
2019-03-25,'002306,*STÔÆÍø,4.5,4.5,4.16,4.2,4.29,0.21,4.8951,2.1015,16811868,73954319.04,3600000000.0,3600000000.0
