хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-10,'603908,да╦ъ╣я,27.9,28.78,27.66,28.78,28.99,-1.09,-3.7599,6.9369,1598908,44857129.0,1860651000.0,643075609.5
2019-04-09,'603908,да╦ъ╣я,28.99,30.88,28.4,29.6,29.98,-0.99,-3.3022,11.7245,2702408,79972015.0,1933343100.0,668199351.95
2019-04-08,'603908,да╦ъ╣я,29.98,30.88,28.5,29.3,29.3,0.68,2.3208,14.2813,3291749,97308029.0,1999366200.0,691018163.9
2019-04-04,'603908,да╦ъ╣я,29.3,29.8,27.2,27.56,27.4,1.9,6.9343,12.3141,2838308,80516164.0,1954017000.0,675344636.5
2019-04-03,'603908,да╦ъ╣я,27.4,28.1,26.88,26.88,27.08,0.32,1.1817,7.1594,1650200,45166084.0,1827306000.0,631550957.0
2019-04-02,'603908,да╦ъ╣я,27.08,27.26,26.8,27.01,27.18,-0.1,-0.3679,6.8852,1587000,42981662.0,1805965200.0,624175179.4
2019-04-01,'603908,да╦ъ╣я,27.18,27.66,26.9,27.65,26.94,0.24,0.8909,11.0186,2539708,68932195.0,1812634200.0,626480109.9
2019-03-29,'603908,да╦ъ╣я,26.94,26.97,25.71,25.93,25.93,1.01,3.8951,6.9473,1601308,42466105.0,1796628600.0,620948276.7
2019-03-28,'603908,да╦ъ╣я,25.93,27.01,25.92,27.01,27.0,-1.07,-3.963,6.1934,1427526,37761613.0,1729271700.0,597668478.65
2019-03-27,'603908,да╦ъ╣я,27.0,27.13,26.08,26.08,26.15,0.85,3.2505,9.2182,2124728,56931540.0,1800630000.0,622331235.0
2019-03-26,'603908,да╦ъ╣я,26.15,26.57,26.0,26.0,26.19,-0.04,-0.1527,5.1624,1189908,31219207.0,1743943500.0,602739325.75
2019-03-25,'603908,да╦ъ╣я,26.19,26.6,25.05,25.31,25.75,0.44,1.7087,6.5886,1518628,39613539.0,1746611100.0,603661297.95
2019-03-22,'603908,да╦ъ╣я,25.75,25.78,25.14,25.64,25.45,0.3,1.1788,3.4092,785800,20063975.0,1717267500.0,593519603.75
2019-03-21,'603908,да╦ъ╣я,25.45,25.74,25.35,25.48,25.35,0.1,0.3945,3.9026,899526,22972129.0,1697260500.0,586604812.25
2019-03-20,'603908,да╦ъ╣я,25.35,25.64,24.67,25.54,25.55,-0.2,-0.7828,3.6973,852200,21513078.0,1690591500.0,584299881.75
2019-03-19,'603908,да╦ъ╣я,25.55,25.68,25.21,25.48,25.34,0.21,0.8287,3.989,919428,23346281.0,1703929500.0,588909742.75
2019-03-18,'603908,да╦ъ╣я,25.34,25.4,24.75,24.85,24.85,0.49,1.9718,4.3351,999200,25141636.0,1689924600.0,584069388.7
2019-03-15,'603908,да╦ъ╣я,24.85,24.98,24.4,24.45,24.43,0.42,1.7192,3.1624,728900,18018136.0,1657246500.0,572775229.25
2019-03-14,'603908,да╦ъ╣я,24.43,25.46,24.24,25.21,25.36,-0.93,-3.6672,3.49,804428,19901241.0,1629236700.0,563094521.15
2019-03-13,'603908,да╦ъ╣я,25.36,26.79,25.16,25.9,25.78,-0.42,-1.6292,5.1359,1183782,30763867.0,1691258400.0,584530374.8
2019-03-12,'603908,да╦ъ╣я,25.78,26.2,25.41,25.69,25.68,0.1,0.3894,5.2782,1216590,31449393.0,1719268200.0,594211082.9
2019-03-11,'603908,да╦ъ╣я,25.68,25.8,24.54,25.57,25.57,0.11,0.4302,6.6149,1524683,38323600.0,1712599200.0,591906152.4
2019-03-08,'603908,да╦ъ╣я,25.57,27.6,25.2,25.93,26.2,-0.63,-2.4046,10.868,2505007,66827477.0,1705263300.0,589370728.85
2019-03-07,'603908,да╦ъ╣я,26.2,27.07,24.9,25.01,24.99,1.21,4.8419,6.431,1482300,38173582.0,1747278000.0,603891791.0
2019-03-06,'603908,да╦ъ╣я,24.99,25.05,24.5,24.54,24.54,0.45,1.8337,4.6774,1078119,26779100.0,1666583100.0,576002131.95
2019-03-05,'603908,да╦ъ╣я,24.54,24.72,24.02,24.15,24.14,0.4,1.657,3.8196,880400,21477826.0,1636572600.0,565629944.7
2019-03-04,'603908,да╦ъ╣я,24.14,24.63,23.89,24.09,24.08,0.06,0.2492,4.3611,1005200,24430962.0,1609896600.0,556410222.7
2019-03-01,'603908,да╦ъ╣я,24.08,24.45,23.75,23.86,23.94,0.14,0.5848,4.486,1034000,24948772.0,1605895200.0,555027264.4
2019-02-28,'603908,да╦ъ╣я,23.94,23.98,23.49,23.61,23.6,0.34,1.4407,2.7402,631600,15068879.0,1596558600.0,551800361.7
2019-02-27,'603908,да╦ъ╣я,23.6,24.0,23.44,23.56,23.57,0.03,0.1273,3.5849,826300,19645411.0,1573884000.0,543963598.0
2019-02-26,'603908,да╦ъ╣я,23.57,23.97,23.4,23.46,23.66,-0.09,-0.3804,4.4991,1037000,24537539.0,1571883300.0,543272118.85
2019-02-25,'603908,да╦ъ╣я,23.66,23.77,22.55,22.89,22.82,0.84,3.681,4.4366,1022600,23897299.0,1577885400.0,545346556.3
2019-02-22,'603908,да╦ъ╣я,22.82,22.9,22.53,22.53,22.62,0.2,0.8842,1.9853,457600,10421298.0,1521865800.0,525985140.1
2019-02-21,'603908,да╦ъ╣я,22.62,23.08,22.61,22.84,22.74,-0.12,-0.5277,1.8907,435800,9949810.0,1508527800.0,521375279.1
2019-02-20,'603908,да╦ъ╣я,22.74,22.79,22.43,22.7,22.67,0.07,0.3088,1.3233,305000,6907838.0,1516530600.0,524141195.7
2019-02-19,'603908,да╦ъ╣я,22.67,22.89,22.31,22.7,22.7,-0.03,-0.1322,2.0178,465100,10517007.0,1511862300.0,522527744.35
2019-02-18,'603908,да╦ъ╣я,22.7,22.75,22.25,22.25,22.24,0.46,2.0683,1.6985,391500,8836577.0,1513863000.0,523219223.5
