ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-10,'002740,°®µÏ¶û,8.65,8.9,8.65,8.86,8.94,-0.29,-3.2438,2.1403,6420765,56142152.9,3927628316.05,2595000000.0
2019-04-09,'002740,°®µÏ¶û,8.94,9.23,8.74,8.76,8.8,0.14,1.5909,2.1951,6585423,59045208.01,4059306028.38,2682000000.0
2019-04-08,'002740,°®µÏ¶û,8.8,9.08,8.65,8.91,8.96,-0.16,-1.7857,3.1617,9485196,83961989.68,2909164755.2,2640000000.0
2019-04-04,'002740,°®µÏ¶û,8.96,9.46,8.37,8.55,8.7,0.26,2.9885,5.5564,16669212,145219112.35,2962058659.84,2688000000.0
2019-04-03,'002740,°®µÏ¶û,8.7,9.1,8.5,8.74,8.71,-0.01,-0.1148,7.2187,21656200,191023933.76,2876106064.8,2610000000.0
2019-04-02,'002740,°®µÏ¶û,8.71,8.71,7.81,7.96,7.92,0.79,9.9747,3.3059,9917797,83984643.87,2879411933.84,2613000000.0
2019-04-01,'002740,°®µÏ¶û,7.92,7.95,7.53,7.55,7.54,0.38,5.0398,2.3444,7033286,54685309.49,2618248279.68,2376000000.0
2019-03-29,'002740,°®µÏ¶û,7.54,7.67,7.25,7.45,7.46,0.08,1.0724,2.7999,8399708,62791625.91,2492625256.16,2262000000.0
2019-03-28,'002740,°®µÏ¶û,7.46,7.6,7.39,7.5,7.59,-0.13,-1.7128,1.6384,4915200,36743075.0,2466178303.84,2238000000.0
2019-03-27,'002740,°®µÏ¶û,7.59,7.63,7.28,7.37,7.27,0.32,4.4017,2.2941,6882382,51472717.02,2509154601.36,2277000000.0
2019-03-26,'002740,°®µÏ¶û,7.27,7.47,7.25,7.41,7.39,-0.12,-1.6238,1.4908,4472400,32833856.0,2403366792.08,2181000000.0
2019-03-25,'002740,°®µÏ¶û,7.39,7.64,7.15,7.17,7.34,0.05,0.6812,2.4687,7406067,55139440.63,2443037220.56,2217000000.0
2019-03-22,'002740,°®µÏ¶û,7.34,7.37,7.15,7.25,7.24,0.1,1.3812,1.5155,4546536,32981162.46,2426507875.36,2202000000.0
2019-03-21,'002740,°®µÏ¶û,7.24,7.3,7.2,7.24,7.24,0.0,0.0,1.7477,5243101,38051556.47,2393449184.96,2172000000.0
2019-03-20,'002740,°®µÏ¶û,7.24,7.3,7.1,7.15,7.17,0.07,0.9763,1.6194,4858217,34968415.35,2393449184.96,2172000000.0
2019-03-19,'002740,°®µÏ¶û,7.17,7.2,7.09,7.19,7.19,-0.02,-0.2782,1.3478,4043274,28836975.14,2370308101.68,2151000000.0
2019-03-18,'002740,°®µÏ¶û,7.19,7.23,7.03,7.21,7.16,0.03,0.419,1.9765,5929616,42349036.08,2376919839.76,2157000000.0
2019-03-15,'002740,°®µÏ¶û,7.16,7.22,6.72,6.72,6.69,0.47,7.0254,2.6039,7811810,54413804.44,2367002232.64,2148000000.0
2019-03-14,'002740,°®µÏ¶û,6.69,7.09,6.69,7.09,7.08,-0.39,-5.5085,1.9002,5700575,39115509.18,2211626387.76,2007000000.0
2019-03-13,'002740,°®µÏ¶û,7.08,7.25,7.05,7.15,7.14,-0.06,-0.8403,2.0364,6109253,43674356.07,2340555280.32,2124000000.0
2019-03-12,'002740,°®µÏ¶û,7.14,7.3,7.05,7.14,7.13,0.01,0.1403,1.9006,5701843,40860707.16,2360390494.56,2142000000.0
2019-03-11,'002740,°®µÏ¶û,7.13,7.16,6.87,6.9,6.92,0.21,3.0347,2.1104,6331149,44508061.81,2357084625.52,2139000000.0
2019-03-08,'002740,°®µÏ¶û,6.92,7.69,6.9,7.0,7.09,-0.17,-2.3977,3.8022,11406490,82128619.94,2287661375.68,2076000000.0
2019-03-07,'002740,°®µÏ¶û,7.09,7.09,6.81,6.85,6.95,0.14,2.0144,3.5298,10589500,73505451.42,2343861149.36,2127000000.0
2019-03-06,'002740,°®µÏ¶û,6.95,6.96,6.7,6.74,6.73,0.22,3.2689,4.2696,12808810,87689685.8,2297578982.8,2085000000.0
2019-03-05,'002740,°®µÏ¶û,6.73,6.73,6.56,6.65,6.64,0.09,1.3554,2.1132,6339553,42181711.68,2224849863.92,2019000000.0
2019-03-04,'002740,°®µÏ¶û,6.64,6.72,6.54,6.55,6.55,0.09,1.374,2.5934,7780200,51579183.0,2195097042.56,1992000000.0
2019-03-01,'002740,°®µÏ¶û,6.55,6.59,6.45,6.58,6.56,-0.01,-0.1524,1.0586,3175773,20691412.04,2165344221.2,1965000000.0
2019-02-28,'002740,°®µÏ¶û,6.56,6.7,6.49,6.61,6.56,0.0,0.0,1.789,5367000,35243406.0,2168650090.24,1968000000.0
2019-02-27,'002740,°®µÏ¶û,6.56,6.79,6.53,6.61,6.7,-0.14,-2.0896,2.0778,6233396,41524295.82,2168650090.24,1968000000.0
2019-02-26,'002740,°®µÏ¶û,6.7,6.92,6.65,6.85,6.91,-0.21,-3.0391,3.7186,11155778,75399637.49,2214932256.8,2010000000.0
2019-02-25,'002740,°®µÏ¶û,6.91,7.16,6.66,7.1,6.54,0.37,5.6575,5.5443,16632811,114658463.94,2284355506.64,2073000000.0
2019-02-22,'002740,°®µÏ¶û,6.54,6.68,5.99,6.05,6.07,0.47,7.743,3.356,10067932,63583856.35,2162038352.16,1962000000.0
2019-02-21,'002740,°®µÏ¶û,6.07,6.2,6.03,6.16,6.16,-0.09,-1.461,1.4394,4318137,26375657.04,2006662507.28,1821000000.0
2019-02-20,'002740,°®µÏ¶û,6.16,6.32,5.89,5.97,5.99,0.17,2.8381,1.899,5697100,34844827.08,2036415328.64,1848000000.0
2019-02-19,'002740,°®µÏ¶û,5.99,6.08,5.91,6.05,5.98,0.01,0.1672,1.6853,5055753,30284913.82,1980215554.96,1797000000.0
2019-02-18,'002740,°®µÏ¶û,5.98,6.02,5.81,5.89,5.79,0.19,3.2815,1.4988,4496298,26483577.3,1976909685.92,1794000000.0
2019-02-15,'002740,°®µÏ¶û,5.79,5.85,5.75,5.78,5.78,0.01,0.173,0.9283,2784847,16096849.17,1914098174.16,1737000000.0
2019-02-14,'002740,°®µÏ¶û,5.78,5.81,5.73,5.8,5.82,-0.04,-0.6873,1.1305,3391400,19569796.0,1910792305.12,1734000000.0
2019-02-13,'002740,°®µÏ¶û,5.82,5.85,5.71,5.8,5.81,0.01,0.1721,1.8757,5627149,32530228.73,1924015781.28,1746000000.0
2019-02-12,'002740,°®µÏ¶û,5.81,5.85,5.67,5.68,5.75,0.06,1.0435,1.7363,5208800,30018981.0,1920709912.24,1743000000.0
2019-02-11,'002740,°®µÏ¶û,5.75,5.8,5.46,5.49,5.58,0.17,3.0466,2.22,6660025,37596988.58,1900874698.0,1725000000.0
2019-02-01,'002740,°®µÏ¶û,5.58,5.67,5.15,5.35,5.65,-0.07,-1.2389,2.5335,7600549,41187344.62,1844674924.32,1674000000.0
2019-01-31,'002740,°®µÏ¶û,5.65,6.1,5.6,6.09,5.78,-0.13,-2.2491,3.9829,11948725,70379897.28,1867816007.6,1695000000.0
