»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-10,'600966,≤©ª„÷Ω“µ,3.89,3.93,3.79,3.88,3.88,0.01,0.2577,2.5217,33710589,130273900.0,5200324280.32,5200324280.32
2019-04-09,'600966,≤©ª„÷Ω“µ,3.88,3.93,3.85,3.92,3.93,-0.05,-1.2723,2.7539,36815535,142721358.0,5186955837.44,5186955837.44
2019-04-08,'600966,≤©ª„÷Ω“µ,3.93,3.93,3.76,3.85,3.8,0.13,3.4211,4.2674,57048392,220434334.0,5253798051.84,5253798051.84
2019-04-04,'600966,≤©ª„÷Ω“µ,3.8,3.88,3.75,3.76,3.75,0.05,1.3333,2.3138,30932015,117776447.0,5080008294.4,5080008294.4
2019-04-03,'600966,≤©ª„÷Ω“µ,3.75,3.75,3.66,3.69,3.7,0.05,1.3514,1.8466,24685611,91736084.0,5013166080.0,5013166080.0
2019-04-02,'600966,≤©ª„÷Ω“µ,3.7,3.73,3.68,3.73,3.71,-0.01,-0.2695,1.4526,19419662,71940057.0,4946323865.6,4946323865.6
2019-04-01,'600966,≤©ª„÷Ω“µ,3.71,3.72,3.61,3.62,3.61,0.1,2.7701,1.9125,25567167,94195264.0,4959692308.48,4959692308.48
2019-03-29,'600966,≤©ª„÷Ω“µ,3.61,3.61,3.49,3.54,3.54,0.07,1.9774,1.4165,18936004,67390630.0,4826007879.68,4826007879.68
2019-03-28,'600966,≤©ª„÷Ω“µ,3.54,3.63,3.53,3.55,3.58,-0.04,-1.1173,1.0967,14660547,52471794.0,4732428779.52,4732428779.52
2019-03-27,'600966,≤©ª„÷Ω“µ,3.58,3.62,3.49,3.54,3.54,0.04,1.1299,1.2098,16172572,57483484.0,4785902551.04,4785902551.04
2019-03-26,'600966,≤©ª„÷Ω“µ,3.54,3.68,3.53,3.68,3.66,-0.12,-3.2787,1.44,19250100,69130588.0,4732428779.52,4732428779.52
2019-03-25,'600966,≤©ª„÷Ω“µ,3.66,3.72,3.62,3.64,3.7,-0.04,-1.0811,1.1863,15858724,58256976.0,4892850094.08,4892850094.08
2019-03-22,'600966,≤©ª„÷Ω“µ,3.7,3.71,3.6,3.69,3.69,0.01,0.271,1.1276,15074132,55156386.0,4946323865.6,4946323865.6
2019-03-21,'600966,≤©ª„÷Ω“µ,3.69,3.72,3.64,3.65,3.66,0.03,0.8197,1.7035,22772896,84280120.0,4932955422.72,4932955422.72
2019-03-20,'600966,≤©ª„÷Ω“µ,3.66,3.69,3.59,3.67,3.67,-0.01,-0.2725,1.3055,17452256,63547551.0,4892850094.08,4892850094.08
2019-03-19,'600966,≤©ª„÷Ω“µ,3.67,3.76,3.64,3.71,3.74,-0.07,-1.8717,1.3243,17703419,65389486.0,4906218536.96,4906218536.96
2019-03-18,'600966,≤©ª„÷Ω“µ,3.74,3.75,3.61,3.75,3.7,0.04,1.0811,1.6699,22323353,82172657.0,4999797637.12,4999797637.12
2019-03-15,'600966,≤©ª„÷Ω“µ,3.7,3.9,3.65,3.75,3.57,0.13,3.6415,2.3331,31189761,116672408.0,4946323865.6,4946323865.6
2019-03-14,'600966,≤©ª„÷Ω“µ,3.57,3.69,3.51,3.64,3.65,-0.08,-2.1918,1.2976,17347536,62267880.0,4772534108.16,4772534108.16
2019-03-13,'600966,≤©ª„÷Ω“µ,3.65,3.75,3.61,3.74,3.75,-0.1,-2.6667,1.5268,20411503,75267839.0,4879481651.2,4879481651.2
2019-03-12,'600966,≤©ª„÷Ω“µ,3.75,3.84,3.7,3.75,3.72,0.03,0.8065,2.671,35707501,134106090.0,5013166080.0,5013166080.0
2019-03-11,'600966,≤©ª„÷Ω“µ,3.72,3.75,3.51,3.51,3.52,0.2,5.6818,2.371,31696105,114752077.0,4973060751.36,4973060751.36
2019-03-08,'600966,≤©ª„÷Ω“µ,3.52,3.72,3.5,3.68,3.74,-0.22,-5.8824,2.7793,37154898,134413538.0,4705691893.76,4705691893.76
2019-03-07,'600966,≤©ª„÷Ω“µ,3.74,3.78,3.6,3.64,3.64,0.1,2.7473,3.1578,42215087,156424444.0,4999797637.12,4999797637.12
2019-03-06,'600966,≤©ª„÷Ω“µ,3.64,3.65,3.51,3.55,3.55,0.09,2.5352,2.9648,39635403,141637668.0,4866113208.32,4866113208.32
2019-03-05,'600966,≤©ª„÷Ω“µ,3.55,3.55,3.46,3.49,3.51,0.04,1.1396,2.1769,29101768,102229175.0,4745797222.4,4745797222.4
2019-03-04,'600966,≤©ª„÷Ω“µ,3.51,3.57,3.43,3.45,3.44,0.07,2.0349,3.3887,45301606,158423740.0,4692323450.88,4692323450.88
2019-03-01,'600966,≤©ª„÷Ω“µ,3.44,3.49,3.39,3.48,3.5,-0.06,-1.7143,2.2748,30409999,104084860.0,4598744350.72,4598744350.72
2019-02-28,'600966,≤©ª„÷Ω“µ,3.5,3.56,3.34,3.36,3.35,0.15,4.4776,3.6202,48395908,167650891.0,4678955008.0,4678955008.0
2019-02-27,'600966,≤©ª„÷Ω“µ,3.35,3.44,3.31,3.36,3.4,-0.05,-1.4706,2.0668,27630043,93328382.0,4478428364.8,4478428364.8
2019-02-26,'600966,≤©ª„÷Ω“µ,3.4,3.53,3.28,3.31,3.31,0.09,2.719,3.458,46228016,156642880.0,4545270579.2,4545270579.2
2019-02-25,'600966,≤©ª„÷Ω“µ,3.31,3.33,3.17,3.19,3.18,0.13,4.0881,3.1219,41734602,135774563.0,4424954593.28,4424954593.28
2019-02-22,'600966,≤©ª„÷Ω“µ,3.18,3.18,3.1,3.13,3.14,0.04,1.2739,1.4306,19125269,60102578.0,4251164835.84,4251164835.84
2019-02-21,'600966,≤©ª„÷Ω“µ,3.14,3.18,3.12,3.16,3.16,-0.02,-0.6329,1.1837,15824482,49835785.0,4197691064.32,4197691064.32
2019-02-20,'600966,≤©ª„÷Ω“µ,3.16,3.18,3.12,3.17,3.16,0.0,0.0,0.8656,11572128,36451822.0,4224427950.08,4224427950.08
2019-02-19,'600966,≤©ª„÷Ω“µ,3.16,3.19,3.11,3.12,3.12,0.04,1.2821,1.2481,16685200,52515311.0,4224427950.08,4224427950.08
2019-02-18,'600966,≤©ª„÷Ω“µ,3.12,3.12,3.06,3.06,3.05,0.07,2.2951,0.9388,12550633,38876110.0,4170954178.56,4170954178.56
2019-02-15,'600966,≤©ª„÷Ω“µ,3.05,3.09,3.04,3.07,3.07,-0.02,-0.6515,0.6182,8264640,25323598.0,4077375078.4,4077375078.4
2019-02-14,'600966,≤©ª„÷Ω“µ,3.07,3.1,3.05,3.09,3.08,-0.01,-0.3247,0.8426,11263956,34595897.0,4104111964.16,4104111964.16
2019-02-13,'600966,≤©ª„÷Ω“µ,3.08,3.1,3.02,3.03,3.03,0.05,1.6502,1.0461,13984341,42780831.0,4117480407.04,4117480407.04
2019-02-12,'600966,≤©ª„÷Ω“µ,3.03,3.04,2.94,2.96,2.96,0.07,2.3649,1.2722,17006667,51142297.0,4050638192.64,4050638192.64
2019-02-11,'600966,≤©ª„÷Ω“µ,2.96,2.97,2.88,2.88,2.89,0.07,2.4221,0.9866,13188908,38641644.0,3957059092.48,3957059092.48
2019-02-01,'600966,≤©ª„÷Ω“µ,2.89,2.9,2.83,2.83,2.84,0.05,1.7606,0.8059,10774220,30946522.0,3863479992.32,3863479992.32
2019-01-31,'600966,≤©ª„÷Ω“µ,2.84,2.97,2.82,2.94,3.09,-0.25,-8.0906,2.2781,30455240,88172560.0,3796637777.92,3796637777.92
2019-01-30,'600966,≤©ª„÷Ω“µ,3.09,3.12,3.08,3.1,3.12,-0.03,-0.9615,0.4308,5758942,17828817.0,4130848849.92,4130848849.92
2019-01-29,'600966,≤©ª„÷Ω“µ,3.12,3.15,3.05,3.15,3.16,-0.04,-1.2658,0.7335,9806239,30411365.0,4170954178.56,4170954178.56
2019-01-28,'600966,≤©ª„÷Ω“µ,3.16,3.22,3.15,3.21,3.2,-0.04,-1.25,0.5833,7798073,24838511.0,4224427950.08,4224427950.08
2019-01-25,'600966,≤©ª„÷Ω“µ,3.2,3.23,3.16,3.21,3.21,-0.01,-0.3115,0.6102,8157287,26095516.0,4277901721.6,4277901721.6
2019-01-24,'600966,≤©ª„÷Ω“µ,3.21,3.23,3.18,3.22,3.2,0.01,0.3125,0.4143,5538600,17775017.0,4291270164.48,4291270164.48
2019-01-23,'600966,≤©ª„÷Ω“µ,3.2,3.23,3.18,3.21,3.22,-0.02,-0.6211,0.4272,5710900,18294107.0,4277901721.6,4277901721.6
2019-01-22,'600966,≤©ª„÷Ω“µ,3.22,3.28,3.21,3.28,3.28,-0.06,-1.8293,0.6494,8681595,28073491.0,4304638607.36,4304638607.36
2019-01-21,'600966,≤©ª„÷Ω“µ,3.28,3.31,3.27,3.29,3.29,-0.01,-0.304,0.627,8382095,27586299.0,4384849264.64,4384849264.64
2019-01-18,'600966,≤©ª„÷Ω“µ,3.29,3.32,3.23,3.25,3.24,0.05,1.5432,0.9683,12944802,42391181.0,4398217707.52,4398217707.52
2019-01-17,'600966,≤©ª„÷Ω“µ,3.24,3.27,3.23,3.26,3.25,-0.01,-0.3077,0.4343,5805800,18873623.0,4331375493.12,4331375493.12
2019-01-16,'600966,≤©ª„÷Ω“µ,3.25,3.28,3.24,3.26,3.28,-0.03,-0.9146,0.46,6150100,20032646.0,4344743936.0,4344743936.0
2019-01-15,'600966,≤©ª„÷Ω“µ,3.28,3.29,3.24,3.27,3.26,0.02,0.6135,0.5402,7221102,23595108.0,4384849264.64,4384849264.64
2019-01-14,'600966,≤©ª„÷Ω“µ,3.26,3.31,3.26,3.28,3.29,-0.03,-0.9119,0.6265,8375476,27498368.0,4358112378.88,4358112378.88
2019-01-11,'600966,≤©ª„÷Ω“µ,3.29,3.31,3.22,3.25,3.24,0.05,1.5432,0.8321,11124399,36404940.0,4398217707.52,4398217707.52
2019-01-10,'600966,≤©ª„÷Ω“µ,3.24,3.28,3.21,3.23,3.21,0.03,0.9346,0.7239,9678027,31433642.0,4331375493.12,4331375493.12
2019-01-09,'600966,≤©ª„÷Ω“µ,3.21,3.27,3.21,3.22,3.21,0.0,0.0,0.5775,7720500,25065549.0,4291270164.48,4291270164.48
2019-01-08,'600966,≤©ª„÷Ω“µ,3.21,3.23,3.2,3.22,3.22,-0.01,-0.3106,0.4014,5365685,17245238.0,4291270164.48,4291270164.48
2019-01-07,'600966,≤©ª„÷Ω“µ,3.22,3.23,3.18,3.19,3.19,0.03,0.9404,0.7075,9458104,30299756.0,4304638607.36,4304638607.36
