»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-10,'603579,»ŸÃ©Ω°øµ,39.21,39.92,38.68,39.17,39.1,0.11,0.2813,3.5193,1809617,71247672.0,5489400000.0,2016178200.0
2019-04-09,'603579,»ŸÃ©Ω°øµ,39.1,39.95,38.92,39.68,39.8,-0.7,-1.7588,3.5431,1821875,71698357.0,5474000000.0,2010522000.0
2019-04-08,'603579,»ŸÃ©Ω°øµ,39.8,40.97,38.72,40.97,41.09,-1.29,-3.1394,7.021,3610200,143839958.0,5572000000.0,2046516000.0
2019-04-04,'603579,»ŸÃ©Ω°øµ,41.09,41.5,39.83,40.45,40.51,0.58,1.4317,5.943,3055894,124565583.0,5752600000.0,2112847800.0
2019-04-03,'603579,»ŸÃ©Ω°øµ,40.51,41.39,40.2,41.39,41.37,-0.86,-2.0788,4.6538,2393000,97001755.0,5671400000.0,2083024200.0
2019-04-02,'603579,»ŸÃ©Ω°øµ,41.37,42.01,40.9,42.0,42.31,-0.94,-2.2217,6.7604,3476192,144536270.0,5791800000.0,2127245400.0
2019-04-01,'603579,»ŸÃ©Ω°øµ,42.31,42.71,40.58,40.58,41.12,1.19,2.894,10.3075,5300112,220734997.0,5923400000.0,2175580200.0
2019-03-29,'603579,»ŸÃ©Ω°øµ,41.12,42.44,40.0,41.5,41.68,-0.56,-1.3436,9.3974,4832139,198054197.0,5756800000.0,2114390400.0
2019-03-28,'603579,»ŸÃ©Ω°øµ,41.68,42.0,38.78,39.5,39.94,1.74,4.3565,8.5739,4408706,178766101.0,5835200000.0,2143185600.0
2019-03-27,'603579,»ŸÃ©Ω°øµ,39.94,40.47,37.74,38.0,37.54,2.4,6.3932,8.356,4296680,168821740.0,5591600000.0,2053714800.0
2019-03-26,'603579,»ŸÃ©Ω°øµ,37.54,38.37,36.82,37.07,37.0,0.54,1.4595,4.8205,2478703,93202495.0,5255600000.0,1930306800.0
2019-03-25,'603579,»ŸÃ©Ω°øµ,37.0,37.95,36.5,36.82,37.7,-0.7,-1.8568,3.6778,1891100,70663034.0,5180000000.0,1902540000.0
2019-03-22,'603579,»ŸÃ©Ω°øµ,37.7,38.19,36.87,37.65,37.8,-0.1,-0.2646,4.1836,2151200,80544445.0,5278000000.0,1938534000.0
2019-03-21,'603579,»ŸÃ©Ω°øµ,37.8,38.73,37.06,37.06,37.03,0.77,2.0794,6.0256,3098374,117865849.0,5292000000.0,1943676000.0
2019-03-20,'603579,»ŸÃ©Ω°øµ,37.03,37.65,36.11,37.0,37.5,-0.47,-1.2533,4.9275,2533716,93690103.0,5184200000.0,1904082600.0
2019-03-19,'603579,»ŸÃ©Ω°øµ,37.5,38.08,36.08,36.77,36.37,1.13,3.107,7.9195,4072189,150632915.0,5250000000.0,1928250000.0
2019-03-18,'603579,»ŸÃ©Ω°øµ,36.37,36.9,32.5,33.85,33.7,2.67,7.9228,6.9688,3583339,127092203.0,5091800000.0,1870145400.0
2019-03-15,'603579,»ŸÃ©Ω°øµ,33.7,34.17,33.18,33.78,33.1,0.6,1.8127,3.8096,1958888,66085016.0,4718000000.0,1732854000.0
2019-03-14,'603579,»ŸÃ©Ω°øµ,33.1,34.41,32.01,33.93,34.17,-1.07,-3.1314,4.4842,2305785,76302189.0,4634000000.0,1702002000.0
2019-03-13,'603579,»ŸÃ©Ω°øµ,34.17,35.34,34.0,35.12,35.08,-0.91,-2.5941,6.1997,3187864,109825470.0,4783800000.0,1757021400.0
2019-03-12,'603579,»ŸÃ©Ω°øµ,35.08,36.05,34.39,35.68,35.22,-0.14,-0.3975,5.0846,2614489,92095523.0,4911200000.0,1803813600.0
2019-03-11,'603579,»ŸÃ©Ω°øµ,35.22,35.29,33.88,34.02,33.99,1.23,3.6187,3.4283,1762835,61221201.0,4930800000.0,1811012400.0
2019-03-08,'603579,»ŸÃ©Ω°øµ,33.99,35.46,33.69,35.0,35.96,-1.97,-5.4783,5.2767,2713295,93932163.0,4758600000.0,1747765800.0
2019-03-07,'603579,»ŸÃ©Ω°øµ,35.96,36.81,35.38,36.5,36.31,-0.35,-0.9639,5.6029,2881010,103953791.0,5034400000.0,1849063200.0
2019-03-06,'603579,»ŸÃ©Ω°øµ,36.31,36.86,34.6,34.7,34.57,1.74,5.0333,6.509,3346904,119443742.0,5083400000.0,1867060200.0
2019-03-05,'603579,»ŸÃ©Ω°øµ,34.57,35.1,33.85,34.24,34.0,0.57,1.6765,4.7548,2444898,83863598.0,4839800000.0,1777589400.0
2019-03-04,'603579,»ŸÃ©Ω°øµ,34.0,35.3,33.2,33.2,32.78,1.22,3.7218,7.2001,3702306,126490977.0,4760000000.0,1748280000.0
2019-03-01,'603579,»ŸÃ©Ω°øµ,32.78,33.22,32.18,33.1,33.09,-0.31,-0.9368,4.5917,2361051,77112080.0,4589200000.0,1685547600.0
2019-02-28,'603579,»ŸÃ©Ω°øµ,33.09,33.75,32.0,33.0,32.87,0.22,0.6693,5.4245,2789257,91435816.0,4632600000.0,1701487800.0
2019-02-27,'603579,»ŸÃ©Ω°øµ,32.87,34.63,32.5,34.35,34.05,-1.18,-3.4655,5.8984,3032976,101133628.0,4601800000.0,1690175400.0
2019-02-26,'603579,»ŸÃ©Ω°øµ,34.05,35.4,33.61,34.34,34.08,-0.03,-0.088,4.6787,2405783,82515411.0,4767000000.0,1750851000.0
2019-02-25,'603579,»ŸÃ©Ω°øµ,34.08,34.64,31.8,31.8,31.63,2.45,7.7458,5.3462,2748998,91599794.0,4771200000.0,1752393600.0
2019-02-22,'603579,»ŸÃ©Ω°øµ,31.63,31.78,31.26,31.51,31.51,0.12,0.3808,2.8314,1455885,45865203.0,4428200000.0,1626414600.0
2019-02-21,'603579,»ŸÃ©Ω°øµ,31.51,32.38,31.35,31.88,31.97,-0.46,-1.4388,3.3308,1712719,54526536.0,4411400000.0,1620244200.0
2019-02-20,'603579,»ŸÃ©Ω°øµ,31.97,32.4,31.3,31.73,31.77,0.2,0.6295,3.2816,1687400,53890968.0,4475800000.0,1643897400.0
2019-02-19,'603579,»ŸÃ©Ω°øµ,31.77,32.63,31.36,32.63,32.1,-0.33,-1.028,3.49,1794547,57387133.0,4447800000.0,1633613400.0
2019-02-18,'603579,»ŸÃ©Ω°øµ,32.1,32.15,30.52,31.18,30.78,1.32,4.2885,4.6944,2413865,75787066.0,4494000000.0,1650582000.0
2019-02-15,'603579,»ŸÃ©Ω°øµ,30.78,31.2,30.16,30.76,30.8,-0.02,-0.0649,2.8203,1450212,44668054.0,4309200000.0,1582707600.0
2019-02-14,'603579,»ŸÃ©Ω°øµ,30.8,30.87,29.98,30.24,30.11,0.69,2.2916,3.758,1932339,59012601.0,4312000000.0,1583736000.0
2019-02-13,'603579,»ŸÃ©Ω°øµ,30.11,30.44,29.6,29.84,29.8,0.31,1.0403,3.3007,1697210,50966841.0,4215400000.0,1548256200.0
2019-02-12,'603579,»ŸÃ©Ω°øµ,29.8,29.85,28.7,28.98,28.97,0.83,2.865,3.7212,1913430,56555622.0,4172000000.0,1532316000.0
2019-02-11,'603579,»ŸÃ©Ω°øµ,28.97,29.15,27.58,27.77,27.91,1.06,3.7979,3.2962,1694909,47791476.0,4055800000.0,1489637400.0
2019-02-01,'603579,»ŸÃ©Ω°øµ,27.91,27.96,26.39,26.45,26.25,1.66,6.3238,2.6647,1370200,37464144.0,3907400000.0,1435132200.0
2019-01-31,'603579,»ŸÃ©Ω°øµ,26.25,28.35,25.76,28.2,28.12,-1.87,-6.6501,4.1898,2154384,58216914.0,3675000000.0,1349775000.0
2019-01-30,'603579,»ŸÃ©Ω°øµ,28.12,29.24,28.1,29.11,29.11,-0.99,-3.4009,2.1571,1109191,31703244.0,3936800000.0,1445930400.0
2019-01-29,'603579,»ŸÃ©Ω°øµ,29.11,29.9,27.51,29.88,29.46,-0.35,-1.1881,3.2708,1681859,48514153.0,4075400000.0,1496836200.0
2019-01-28,'603579,»ŸÃ©Ω°øµ,29.46,30.58,29.18,29.62,29.49,-0.03,-0.1017,5.0501,2596744,77343702.0,4124400000.0,1514833200.0
2019-01-25,'603579,»ŸÃ©Ω°øµ,29.49,30.35,28.21,28.49,28.25,1.24,4.3894,5.4923,2824126,83466113.0,4128600000.0,1516375800.0
2019-01-24,'603579,»ŸÃ©Ω°øµ,28.25,28.61,28.04,28.19,28.2,0.05,0.1773,1.4868,764500,21677287.0,3955000000.0,1452615000.0
2019-01-23,'603579,»ŸÃ©Ω°øµ,28.2,28.45,28.06,28.1,28.3,-0.1,-0.3534,0.9719,499769,14104354.0,3948000000.0,1450044000.0
2019-01-22,'603579,»ŸÃ©Ω°øµ,28.3,28.95,28.1,28.93,28.95,-0.65,-2.2453,1.7263,887682,25306138.0,3962000000.0,1455186000.0
2019-01-21,'603579,»ŸÃ©Ω°øµ,28.95,29.49,28.34,28.34,28.46,0.49,1.7217,3.2286,1660153,48174785.0,4053000000.0,1488609000.0
2019-01-18,'603579,»ŸÃ©Ω°øµ,28.46,28.47,27.81,28.01,28.1,0.36,1.2811,1.5766,810703,22850328.0,3984400000.0,1463413200.0
2019-01-17,'603579,»ŸÃ©Ω°øµ,28.1,28.88,28.1,28.88,28.7,-0.6,-2.0906,1.2052,619735,17532596.0,3934000000.0,1444902000.0
2019-01-16,'603579,»ŸÃ©Ω°øµ,28.7,28.95,28.2,28.33,28.3,0.4,1.4134,2.0161,1036701,29669590.0,4018000000.0,1475754000.0
2019-01-15,'603579,»ŸÃ©Ω°øµ,28.3,28.31,27.82,27.98,27.93,0.37,1.3247,1.2693,652669,18314842.0,3962000000.0,1455186000.0
2019-01-14,'603579,»ŸÃ©Ω°øµ,27.93,28.4,27.81,28.32,28.32,-0.39,-1.3771,1.1296,580818,16260322.0,3910200000.0,1436160600.0
2019-01-11,'603579,»ŸÃ©Ω°øµ,28.32,28.34,27.94,28.15,28.1,0.22,0.7829,1.555,799559,22489718.0,3964800000.0,1456214400.0
2019-01-10,'603579,»ŸÃ©Ω°øµ,28.1,29.2,28.0,29.09,29.08,-0.98,-3.37,2.8379,1459265,41432423.0,3934000000.0,1444902000.0
2019-01-09,'603579,»ŸÃ©Ω°øµ,29.08,29.92,28.92,29.3,29.07,0.01,0.0344,3.5068,1803203,52889346.0,4071200000.0,1495293600.0
2019-01-08,'603579,»ŸÃ©Ω°øµ,29.07,29.29,28.65,28.83,28.83,0.24,0.8325,1.5247,784010,22705864.0,4069800000.0,1494779400.0
2019-01-07,'603579,»ŸÃ©Ω°øµ,28.83,29.1,28.51,28.7,28.55,0.28,0.9807,1.4775,759748,21864044.0,4036200000.0,1482438600.0
2019-01-04,'603579,»ŸÃ©Ω°øµ,28.55,28.83,27.05,27.08,27.48,1.07,3.8937,2.903,1492735,42120176.0,3997000000.0,1468041000.0
2019-01-03,'603579,»ŸÃ©Ω°øµ,27.48,28.45,27.45,27.84,27.79,-0.31,-1.1155,1.9768,1016496,28306872.0,3847200000.0,1413021600.0
2019-01-02,'603579,»ŸÃ©Ω°øµ,27.79,28.66,27.43,28.44,28.36,-0.57,-2.0099,1.2563,645986,18056642.0,3890600000.0,1428961800.0
2018-12-28,'603579,»ŸÃ©Ω°øµ,28.36,28.83,28.01,28.53,28.52,-0.16,-0.561,1.0961,563617,16028552.0,3970400000.0,1458271200.0
